X,Y,ID,Longitude,Latitude
565729.458735427,845186.749115022,"1",-8.4040530212,7.6458040159
562125.244427887,840543.561020754,"2",-8.436785024,7.603848986
562040.44791407,843068.081769953,"3",-8.437523972,7.626684979
562037.030707513,843065.315875857,"4",-8.437554985,7.626660001
564055.79881656,845348.305969951,"5",-8.41922502,7.64728602
564631.549370926,844296.709204776,"6",-8.414018014,7.637767028
564632.33175218,844292.391971472,"7",-8.414010974,7.637727968
564633.985028661,844293.617515242,"8",-8.41399597,7.637739033
561248.507639571,839433.125604852,"9",-8.4447459877,7.59381501
561477.783100263,842821.814830135,"10",-8.442627965,7.624464026
563946.817197422,844456.198198936,"11",-8.4202239756,7.6392180193
564173.08550736,846377.516799666,"12",-8.4181490354,7.6565940399
564177.173821575,846375.965533478,"13",-8.4181119874,7.6565799583
563355.686483025,844235.620651651,"14",-8.4255859628,7.6372299995
563265.771349601,844163.091469715,"15",-8.4264020249,7.6365750376
563258.943826438,844159.542530061,"16",-8.4264639672,7.6365430187
566035.361940711,846501.123848686,"17",-8.4012630209,7.6576889679
563245.084343083,844042.004682568,"18",-8.4265910368,7.6354800258
563744.890702817,844016.354689067,"19",-8.4220600314,7.6352419797
562282.58650917,843470.596680431,"20",-8.4353239741,7.630322976
562294.486701633,843476.589224628,"21",-8.4352160152,7.6303770393
562341.956373203,843530.045627022,"22",-8.4347850177,7.6308600046
562342.178255203,843530.045917688,"23",-8.4347830061,7.6308600046
562282.58650917,843470.596680431,"24",-8.4353239741,7.630322976
562343.300038899,843513.571337329,"25",-8.4347730316,7.6307109743
562345.056621674,843520.653339665,"26",-8.4347570222,7.6307750121
562346.459244719,843543.868053114,"27",-8.4347440302,7.6309849788
563237.503972729,844437.670510991,"28",-8.4266549908,7.6390590146
563162.429129033,844656.244679443,"29",-8.4273330029,7.6410369761
560344.017223783,840960.719626476,"30",-8.4529279824,7.607642971
562580.549645947,841003.510530739,"31",-8.432651991,7.6080039795
561980.523132408,840290.089083332,"32",-8.4380999766,7.6015579607
561415.970232841,839939.675993458,"33",-8.44322199,7.5983949658
561396.945364833,839893.772663818,"34",-8.4433949925,7.5979799777
561374.601427712,839854.833567293,"35",-8.4435980022,7.5976280216
562132.380178471,840403.06086259,"36",-8.4367219917,7.6025780383
561377.77941585,839871.304372267,"37",-8.4435690008,7.597776968
562546.955519858,840378.27626558,"38",-8.4329639655,7.6023489609
560696.865512269,839585.54321321,"39",-8.4497450385,7.5952000357
561609.166485318,842810.818308309,"40",-8.4414369799,7.6243630238
561559.261783089,842844.688080122,"41",-8.441889016,7.6246699691
561111.849750185,842603.439897117,"42",-8.4459480364,7.6224930212
561678.299713053,842914.276746164,"43",-8.4408090077,7.6252980251
561956.947077716,843150.232682687,"44",-8.4382800199,7.6274290401
561957.159326296,843157.636989746,"45",-8.4382780083,7.6274960116
561426.142208287,843090.831720516,"46",-8.4430929925,7.6268979628
561286.712828662,843011.061228397,"47",-8.4443579894,7.6261780411
561096.516309318,842606.848866279,"48",-8.4460870083,7.6225240342
561747.835982003,840070.447495322,"49",-8.4402119648,7.5995739643
561750.257000339,840071.562605672,"50",-8.4401900042,7.5995840225
560800.198429989,839266.718882579,"51",-8.4488119651,7.5923149846
560799.64788234,839263.400749623,"52",-8.4488169942,7.5922849774
560802.179358563,839264.951488143,"53",-8.4487940278,7.5922989752
560797.762759616,839269.810828315,"54",-8.4488340095,7.5923429802
560757.665870743,839310.560618611,"55",-8.4491970297,7.5927120354
560578.237148827,839016.805052282,"56",-8.4508269746,7.5900569838
560798.43199545,839267.050235766,"57",-8.4488279745,7.5923180021
560553.933435268,839042.424153495,"58",-8.4510469995,7.5902889948
560566.543232809,839014.797934512,"59",-8.4509330057,7.5900389627
560559.541539898,839053.152685177,"60",-8.4509960376,7.5903859735
560572.343583178,839048.971124305,"61",-8.450880032,7.5903480034
560582.077835967,839028.643328553,"62",-8.450792022,7.5901640207
564193.66300189,843970.856727896,"63",-8.4179919586,7.6348249801
564322.227939186,844326.4712073,"64",-8.4168220125,7.6380400266
564334.466664695,844491.878917108,"65",-8.4167090245,7.6395360287
559928.229488037,841434.25514432,"66",-8.4566919599,7.611930985
562266.062656292,843451.226383275,"67",-8.43547401,7.630147962
564143.708310989,844609.909871739,"68",-8.4184370376,7.6406059787
564155.088663892,844596.553456516,"69",-8.418334024,7.6404850278
564990.332147978,845849.067518054,"70",-8.4107459709,7.6518040337
563914.059993618,847237.390359551,"71",-8.420487,7.664374961
563931.977265789,847284.516919943,"72",-8.420323972,7.664801013
563932.091946817,847281.755619712,"73",-8.420322966,7.664776035
563884.689157335,844146.775633877,"74",-8.4207910113,7.6364199724
