X,Y,ID,Longitude,Latitude
562416.102396479,840735.203010415,"1",-8.434145981,7.605579011
562530.649773599,840784.660493204,"2",-8.433106961,7.606025012
564990.5354365,845862.661968783,"3",-8.410743959,7.651926996
562995.792825925,843470.988673982,"4",-8.428858006,7.630318031
562989.746515417,843456.830497159,"5",-8.428912992,7.630190039
562822.480427521,842993.380323344,"6",-8.430434978,7.62600001
562322.151445014,843411.064145745,"7",-8.434965983,7.6297840197
562228.908785754,843356.769517051,"8",-8.4358119685,7.6292940136
562231.553685521,843356.216982758,"9",-8.4357879963,7.6292889845
562300.299849456,843421.757009572,"10",-8.4351639636,7.6298809983
562396.285630256,843654.270964939,"11",-8.4342909884,7.631983012
560735.931735614,842091.860503594,"12",-8.4493619855,7.6178699825
563774.671357119,847469.156072442,"13",-8.421747973,7.666473035
561750.663350512,840865.784500473,"14",-8.4401770122,7.6067679841
563941.738787512,843639.95778974,"15",-8.4202799667,7.6318349876
566309.534052741,846515.8790474,"16",-8.398777032,7.657818971
566316.799292524,846529.937532683,"17",-8.3987109829,7.6579460409
563668.390662572,847273.106807582,"18",-8.4227139875,7.6647010166
564485.682853871,846770.522832647,"19",-8.415310001,7.6601450332
562173.687694336,839602.582321849,"20",-8.43635696,7.595336996
560038.790470557,839300.469729581,"21",-8.455713959,7.592628971
562925.784078312,842024.28375878,"22",-8.4295100346,7.6172330417
562191.437781604,841642.119747722,"23",-8.4361719713,7.6137849782
565255.065618569,845751.806445588,"24",-8.4083469864,7.6509210002
561973.601413402,843154.785740383,"25",-8.438128978,7.6274700277
563341.507224431,841793.770994287,"26",-8.4257439617,7.6151430141
563347.407331728,841750.994825627,"27",-8.4256909881,7.6147560216
563332.754815357,841735.602044834,"28",-8.4258240089,7.6146169659
563333.456614074,841708.414696836,"29",-8.4258179739,7.6143710408
561005.781150989,841110.595278539,"30",-8.4469269589,7.6089910325
560082.370810759,839732.022171266,"31",-8.455313975,7.596532004
562861.489955633,841350.691990949,"32",-8.4301009588,7.6111409906
562859.785726392,841388.062009452,"33",-8.4301159624,7.6114790328
562913.019471432,841418.749075456,"34",-8.4296329971,7.6117559709
562163.991522581,839593.17338411,"35",-8.4364449698,7.5952520035
561566.42862892,842593.081307958,"36",-8.4418269899,7.6223940309
562318.549160133,843380.210862693,"37",-8.4349990077,7.6295049861
563608.155748285,842173.325617719,"38",-8.4233220108,7.6185729727
562627.901766505,840224.825396508,"39",-8.432231974,7.600959996
562739.393082333,840243.653133667,"40",-8.431221033,7.601128975
561037.301995131,841044.073636462,"41",-8.446641974,7.60838896
565005.630713586,846275.494073936,"42",-8.4106019698,7.6556609664
562510.712855807,840928.025902108,"43",-8.4332859982,7.6073220279
562806.963499179,842041.807781598,"44",-8.4305870254,7.6173929684
561936.71390704,840640.828611756,"45",-8.4384930041,7.604731014
562488.593627846,843074.857841404,"46",-8.4334610123,7.6267409697
565137.236342638,844647.855167745,"47",-8.409429006,7.64093698
561337.82320186,841004.881274292,"48",-8.443918023,7.608030969
561956.058639865,840610.561238834,"49",-8.43831799,7.60445701
562083.860392264,840557.221868524,"50",-8.43716003,7.603973039
562319.359577629,842845.787772895,"51",-8.434998002,7.624670975
562972.241550938,841178.377077908,"52",-8.429098986,7.609581035
562830.457856814,842040.958455693,"53",-8.430374041,7.617385006
561427.03408734,841028.106913414,"54",-8.443109002,7.608240014
562415.547984576,840734.868741525,"55",-8.434151011,7.605575994
560832.449068057,840015.212220956,"56",-8.448510971,7.599084964
561344.022547367,840986.875008449,"57",-8.443862032,7.607868025
560887.594445349,841231.827366519,"58",-8.447996993,7.610088978
560437.515001949,838287.746496988,"59",-8.452110998,7.58346403
562387.348927713,840705.864401901,"60",-8.434406994,7.605313975
560592.20500355,840179.416573235,"61",-8.4506869968,7.6005730033
562634.585392268,843948.326670791,"62",-8.4321270324,7.6346399914
561275.219193248,842681.702293529,"63",-8.444466032,7.623199029
563818.500366284,846040.501469556,"64",-8.421368022,7.653549984
565441.605811205,845413.320152553,"65",-8.4066599607,7.6478569955
563592.584061585,847135.691773246,"66",-8.42340298,7.663458986
563719.442452624,847367.259724408,"67",-8.422249965,7.665552031
563816.515602802,846697.976778729,"68",-8.421377996,7.659497028
560830.226468996,840025.272901879,"69",-8.4485310037,7.5991759915
562647.727448138,840328.887563707,"70",-8.4320510086,7.601901032
562665.908696788,840347.259295834,"71",-8.4318859689,7.6020669937
562616.400995695,840245.03929896,"72",-8.4323359933,7.6011429727
562619.206290832,840206.901624366,"73",-8.4323110152,7.6007979736
562476.963239633,839911.759393361,"74",-8.4336040076,7.5981300138
562283.961898492,839627.161865294,"75",-8.4353569988,7.5955580268
562230.834531566,839598.125298474,"76",-8.4358389582,7.5952960085
562609.029973306,839978.37377483,"77",-8.4324059822,7.5987309963
560198.580596614,839162.255806209,"78",-8.4542669915,7.5913769659
562822.437917521,841011.899488968,"79",-8.4304590337,7.6080769859
565435.208349888,845413.200172044,"80",-8.406717964,7.64785599
565768.761577468,846279.539201708,"81",-8.40368296,7.65568804
564183.354966978,846289.858877763,"82",-8.418057002,7.655801028
563779.696037989,847499.891067867,"83",-8.42170204,7.666750979
